"分類: NDC","棚番号-段","タイトル","編著者","発行者","発行年","言語","注記：原著名／仮訳、ISBN等","貴重書","タグ"
"629.237","14-3","Palladio
（Art dossier ; No. 98）","Giandomenico Romanelli","Giunti","1995","イタリア語","イタリアの建築家アンドレーア・パッラーディオ（Andrea Palladio）について,  造園ーイタリア


ISBN:8809761944
Art dossier ; No. 98号","",""
"518.85","14-3","南欧の広場
Plazas Southern Europe","加藤 晃規 著","（株）プロセス アーキテクチュア","1990.1","","ISBN: 4-89331-703-2, 改訂版","",""
"629.237","14-3","Ville e Giardini Italiani: i disegni di architetti e paesaggisti dell’American Academy in Rome ","Vincenzo Cazzato","Libreria Dello Stato","2004","イタリア語","イタリアの別荘と庭園","",""
"629.237","14-3","The Gardens at San Lorenzo in Piacenza, 1656-1665 : A Manuscript Planting Noteboook with a Study, Transcription, and Translation
","Ada V. Segre","Dumbarton Oaks (Research Library and Collection)","2006","英語","サン・ロレンツォ庭園(イタリア、ピアチェンツァ県）","",""
"629.237","14-3","The Garden at Bomarzo : A Renaissance Riddle ","Jessie Sheeler","France Kubcikb Kunuted","2007","英語","ボマルツォ（イタリア）の庭園 : ルネッサンスの謎","",""
"629.237","14-3","Green Delights: The villas, gardens and historic parks belonging to the City of Rome","Alberta Campitelli","De Luca Editori D'Art","2005","英語","緑の楽園：ローマ市に属する別荘、庭園、歴史的公園, 造園ーイタリア","",""
"629.237","14-3","Le Isole Borromeo e la Rocca di Angera : Guida storico-artistica","Mauro Natale","Silvana Editoriale","2000","イタリア語"," 造園ーイタリア

","",""
"629.237","14-3","I giarcini della Riviera del Brenta : Studi e catalogazione delle architetture vegetali ","a cura di Giuseppe Rallo","Marsilio Editori","1995","イタリア語","ブレンタ リビエラの庭園: 植物構造の研究とカタログ化, 造園ーイタリア","",""
"629.237","14-3","Giardini e ville del lago Maggiore : un paesaggio culturale tra Ottocento e Novecento","a cura di Renata Lodari","Centro Studi Piemontesi / Museo del l'aesaggio","2002","イタリア語","ISBN: 8882620271
マッジョーレ湖の庭園と別荘: 19 世紀から 20 世紀の文化的景観, 造園ーイタリア
","",""
"629.237","14-3","Isola Madre - lago Maggiore  - guida al giardino botanico "," Edizioni Reggiori"," Edizioni Reggiori","","イタリア語","マードレ島 - マッジョーレ湖 - 植物園のガイド,  造園ーイタリア

","",""
"629.237","14-3","Il giardino e il lago : Specchi d'acqua fra illusione e realtà.  Conoscenza e valorizzazione del paesaggio lacustre in Italia e in Europa","Renata Lodari","Gangemi Editore","2007","イタリア語","庭園と湖 : 幻想と現実の間の水鏡
ISBN: 9788849213003","",""
"629.237","14-3","Gardens of Tuscany ","photographs by Massimo Listri.","Pagliai Polistampa","2007","英語","ISBN: 9788859601845
include 1 peace of map,  造園ーイタリア

","",""
"629.237","14-3","Toscana restituita ","Mariella Zoppi, Niccolò. Orsi Battaglini","Scala, Firenze","2007","イタリア語","ISBN: 8881170469
Antiquities
Subject:Historic buildings Conservation and restoration,  造園ーイタリア

","",""
"629.237","14-3","トスカーナの庭園　（日本におけるイタリア2001：イタリア大使館によって紹介された書）","Massimo Piccione, Annalisa Fineschi、日本語版校閲：田辺 陽子","Edifir　Edizioni Firenze","2001","日本語"," 造園ーイタリア

","",""
"629.237","14-3","Giardini di Toscana","Clarke & Bencini","RCS /	Rizzoli?","1990","イタリア語","トスカーナの庭園,  造園ーイタリア

","",""
"629.237","14-3","Guide to the Botanic Gardens of Villa Taranto","Text:Sandro Chierichetti","Grafiche Reggiori","","英語","ヴィラ ターラント（イタリア）の植物園ガイド,  造園ーイタリア

","",""
"629.237","14-3","VILLA TARANTO. Il Giardino del Capitano McEacharn."," Carola Lodari, Marco Capovilla ","Umberto Allemandi & Co","1990","イタリア語","ISBN:8842202894
ヴィラ ターラント:キャプテン マカーンの庭園,  造園ーイタリア

","",""
"","","","","","","","","",""
"629.237","14-3","Ville e giardini del Lago di Como","testi: Donata Vittani ; progetto grafico: Break Point ","Enzo Pifferi Editore","2007","イタリア語","ISBN: 8888174702
仮訳：コモ湖のヴィラと庭園,  造園ーイタリア

","",""
"629.237","14-3","Lago Como : un Viaggio di Nelle Emozioni / 
Lake Como : A Journey into the Emotions","Giorgio Carradori / Eurolanguages Sas","Nous Srl","2006","イタリア語・英語","コモ湖（イタリア）：感動的な旅,  造園ーイタリア

","",""
"","","","","","","","","",""
"629.237","14-3","Villa D’Este : Tivoli - Villa Gregoriana - Hadrian’sVilla      (new guide illustrated in colour)","testo: M.A. Bonaventura","editrice lozzi","","イタリア語","エステ家別荘(イタリア、ティヴォリ),  造園ーイタリア

","",""
"629.237","14-3","Gaetano Genovese e il suo tempo","Rosa Anna Genovese","Edizioni Scientifiche Italiane","2000","イタリア語","ISBN: 8881149729,  造園ーイタリア


","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"629.237","14-4","A guide to Villa Gamberaia ","Mariachiara Pozzana","Edizioni Polistampa","1999.1","イタリア語","ｶﾞﾝﾍﾞﾗｲｱ邸(ｲﾀﾘｱ, ﾌｨﾚﾝﾂｪ)ｶﾞｲﾄﾞ,  造園ーイタリア

","",""
"629.237","14-4","Le gemme del Lago Maggiore","","Giorgio Gnemmi","","イタリア語","マッジョーレ湖の宝石,  造園ーイタリア

","",""
"629.237","14-4","Oscar Tintori","**","Pacini Editore Pisa","","英語/ドイツ語","Oscar Tintoriレモン農園（イタリア、トスカーナ）ガイド","",""
"629.237","14-4","Biella Novara Verbano Cusio ossola : Il Lago Maggiore le sue Valli I suoi Fiori","**","Fiori Tipici Lago Maggiore","","イタリア語","ビエッラ・ノヴァーラ(鉄道)  ヴェルバーノ・クジオ・オッソラ県: マッジョーレ湖、その渓谷、その花,  造園ーイタリア

","",""
"629.237","14-4","Discovering the lakes, mountains and valleys / Scoprire I Laghi, I Monti e le Valli","**","Distretto Turistico dei Laghi","","英語/イタリア語？"," 造園ーイタリア

","",""
"629.237","14-4","I giardini di Villa Pisani : nelle incisioni del Ransonnette","Giampaolo Bonollo
Mr.Formenton","Medoacus","1993","イタリア語","ヴィラピサニ（ピサーニ庭園）,  造園ーイタリア

","",""
"629.237","14-4","La citta di Cino: Piccola guida del centro storico di Pistoia/ The City of Cino: A little guide to the historical centre of Pistoia","Alberto Cipriani 著
Nedo Ferrari 画 ","Provincia di Pistoia","1995","イタリア語・英語","造園ーイタリア","",""
"629.237","14-4","La Porta San Donato nelle mura di Lucca","Gilberto Bedini, Roberta Martinelli, Giuliana Puccinelli","Maria Pacini Fazzi editore","1988","イタリア語","Subject: Buildings, City walls Italy Lucca,  造園ーイタリア

","",""
"629.237","14-4","Pienza and Surroundings","M. Mangiavacchi, D. Pasqui and F.Pellegrini"," Pama Graphicolor","1900年代","","Subject: Pienza (Italy) Description and travel,  造園ーイタリア

","",""
"629.237","14-4","Stift Melk","Burkhard Ellegast OSB,  ernst Bruckmuller","Stift Melk","1991","英語","メルク教会ガイド,  造園ーイタリア

","",""
"629.237","14-4","I giardini di Villa Melzi. Bellagio","Enzo Pifferi ","Enzo Pifferi editore","2004","イタリア語","コモ湖のヴィラメルツィ庭園,  造園ーイタリア


ISBN:8888174583","",""
"629.237","14-4","Editoria e Giardini Catalogo ‛06
6a Rassegna di Editoria italiana e straniera sul giardino","**","Comune di Verbania","2006","イタリア語","マッジョーレ湖の庭園に特化して開催されるブックフェアのカタログ,  造園ーイタリア

","",""
"523.37 ","14-4","イタリアのヴィラと庭園","P.ファン・デル・レー(Ree, Paul van der),  G.スミンク(Smienk, Gerrit),  C.ステーンベルヘン(Steenbergen, Clemens) 共著, 野口昌夫 訳","鹿島出版会","1997.12","","原タイトル: Italian villas and gardens, 
造園ーイタリア

","",""
"523.37 ","14-4","ボーボリ庭園","リッタ・メドリ,ジョルジョ・ガッレッティ 著
中嶋浩郎 訳","sillabe","1998","","ISBN:8886392729
日本語公認ガイドブック,  造園ーイタリア

","",""
"702.37 ","14-4","イタリア・バロック : 美術と建築　（世界歴史の旅）","宮下 規久朗 著","山川出版社","2006.11",""," 造園ーイタリア

","",""
"629.237","14-4","イタリア庭園の旅 : 100の悦楽と不思議      (コロナ・ブックス  78)","巖谷 國士 文・写真","平凡社","2000.3","","造園ーイタリア","",""
"","","","","","","","","",""
"945.6","14-4","イタリア紀行　上・中・下     (岩波文庫)","ゲーテ (Goethe, Johann Wolfgang von, 1749-1832) 著, 相良 守峯 訳","岩波書店","1942","","原タイトル: Italienische Reise, 
","",""
"237","14-4","イタリア史　（新版　世界各国史　15）","北原 敦 編","山川出版社","2000.8","","","",""
"237","14-4","ローマの泉の物語      (集英社新書)","竹山 博英 著","集英社","2004.8","","造園ーイタリア","",""
"237","14-4","ヴェネツィアと水 : 環境と人間の歴史","ピエロ・ベヴィラックワ (Bevilacqua, Piero, 1944-)著, 北村 暁夫 訳","岩波書店","2008.8","","原タイトル: Venezia e le acque, 
造園ーイタリア","",""
"237 ","14-4","ヴェネツィア帝国への旅","ジャン・モリス (Morris, Jan, 1926-) , 椋田 直子 訳","東京書籍","2001.8","","原タイトル: The Venetian Empire","",""
"702.37","14-4","レオナルド・ダ・ヴィンチ : 芸術と科学を越境する旅人","マーティン・ケンプ (Kemp, Martin) 著, 藤原 えりみ 訳","大月書店","2006.11","","原タイトル: Leonardo","",""
"507.1","14-4","ダ・ヴィンチ天才の仕事 : 発明スケッチ32枚を完全復元","ドメニコ・ロレンツァ (Laurenza, Domenico),  マリオ・タッディ (Taddei, Mario),  エドアルド・ザノン (Zanon, Edoardo)","二見書房","2007.5","","原タイトル: Le macchine di Leonardo","",""
"702.37","14-4","レオナルド・ダ・ヴィンチ : 肖像画　（ART DOSSIER）","カルロ・ペドレッティ (Pedretti, Carlo), アンドレ・シャステル, パオロ・ガルッツィ 著, 柱本 元彦 訳","GIUNTI (イタリア)","1999","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"629.272","14-5","イラン庭園（新しい風景の古代の知恵）　（ペルシャ語仮訳）","","テヘラン現代美術館（イラン）","2013?","ペルシャ語","2013年秋､テヘラン現代美術館で開催された「イランの庭園：古代の知恵、新たな視点」展の際出版された。イランの17の重要な庭園を紹介, 
造園ー中東","",""
"629.263","14-5","Persian Gardens and Garden Pavilions  2nd ed","by Donald Newton Wilber","Dumbarton Oaks Trustees for Harvard University","1979","英語","ISBN: 0884020827, 
造園ー中東","",""
"629.263","14-5","Gardens of Persia","Penelope Hobhouse ; edited by Erica Hunningher ; photography by Jerry Harpur","Kales Press","2006","英語","ISBN: 0967007666, 
造園ー中東","",""
"629.274","14-5","TÜBA - KED : Türkiye Bilimler Akademisi Kültür Envanteri Dergisi ","Türkiye bilimler akademisi","Türkiye Bilimler Akademisi, Istanbul","2010.9","トルコ語・英語","TÜBA-KED : トルコ科学文化アカデミー雑誌, 
造園ー中東","",""
"629.274","14-5","Where to go in  Istanbol","Ibrahim Uslu","Istanbul Metropolitan Municipaliity 
","2006","英語","イスタンブール案内、トルコ, 
造園ー中東","",""
"629.22","14-5","楽園のデザイン : イスラムの庭園文化","ジョン・ブルックス(Brookes, John)[著],  神谷 武夫訳","鹿島出版会 ","1989.6","","別タイトル: Gardens of paradise : the history and design of the great Islamic gardens
２冊","",""
"522.6","14-5","イスラムの造景文化","岡崎 文彬 著","同朋舎出版(京都)","1988.5","","ISBN: 4-8104-0697-0","",""
"","","","","","","","","",""
"629.221","14-5","Thai Garden Style","photographed by Luca Invernizzi Tettoni ; text by William Warren","Periplus Editions","1996","英語","ISBN: 9625931376
Gardens--Thailand--Pictorial works.
","",""
"292.3709","14-5","National Parks of Thailand ","Denis Gray,Collin Piprell,Mark Graham","IFCT:	Industrial Finance Corporation of Thailand","1991","英語","タイの国立公園","",""
"225.99","14-5","Monumental Bali : introduction to Balinese archaeology & guide to the monuments ","A.J. Bernet Kempers","Periplus Editions","1991","英語","ISBN: 0945971168
","",""
"225.99","14-5","The cultural triangle of Sri Lanka","*****","UNESCO Publishing & CCF(Central Cultural Fund)","1993","英語","ISBN: 923102874X (UESCO)
           9556130462 (CCF)","",""
"629.220","14-5","Trails to Tropical Treasures : a tour of ASEAN's Cultural Heritage","Trails to Tropical Treasures","World Monuments","1992","","ISBN: 0962793116","",""
"722.55","14-5","Garden & cosmos : the royal paintings of Jodhpur","[edited by] Debra Diamond, Catherine Glynn, and Karni Singh Jasol ; with contributions by Jason Freitag and Rahul Jain","Thames & Hudson / Smithsonian Institution","2008","マールワーリー語 or ヒンディー語。","ISBN: 978-0-500-51443-6,
Catalog of the exhibition held at the Arthur M. Sackler Gallery, Oct.11, 2008-Jan.4, 2009; Seatte Art Museum, Jan.29-Apr.26, 2009; British Museum, May 28-Aug.23, 2009; National Museum of India, Nov., 2009.    ジョードプル(英語: Jodhpur)はインドのラージャスターン州の都市。","",""
"","","","","","","","","",""
"","","","","","","","","",""
"230","14-6","ローマ亡き後の地中海世界　上","塩野 七生 著","新潮社","2008.12","","","",""
"230","14-6","ローマ亡き後の地中海世界　下","塩野 七生 著","新潮社","2009.1","","","",""
"232","14-6","ローマ世界の終焉　（ローマ人の物語　15）","塩野 七生 著","新潮社","2006.12","","","",""
"232","14-6","すべての道はローマに通ず（ローマ人の物語　10）","塩野 七生 著","新潮社","2001.12","","","",""
"232","14-6","ローマ人の物語　11　終わりの始まり","塩野 七生 著","新潮社","2002.12","","","",""
"232","14-6","ローマ人の物語　12　迷走する帝国","塩野 七生 著","新潮社","2003.12","","","",""
"237","14-6","イタリア遺聞","塩野 七生 著","新潮社","1982.7","","","",""
"232 ","14-6","ローマから日本が見える","塩野 七生 著","集英社インターナショナル","2005.6","","「痛快!ローマ学」 (2002年刊) の改稿","",""
"237","14-6","イタリア  (読んで旅する世界の歴史と文化)","河島 英昭 監修","新潮社","1993.9","","","",""
"237","14-6","一冊でわかるイタリア史  : 世界と日本がわかる国ぐにの歴史","北原 敦　監修","河出書房新社","2020.5","","","",""
"237","14-6","フィレンツェ史","F・グイッチャルディーニ (Guicciardini, Francesco, 1483-1540) 著, 末吉 孝州 訳","太陽出版","1999.3","","原タイトル: Storie fiorentine","",""
"232","14-6","ローマはなぜ滅んだか　（講談社現代新書）","弓削  達 著","講談社","1989.10","","","",""
"237","14-6","イタリア貴族養成講座 : 本物のセレブリティとは何か      (集英社新書)","彌勒 忠史 著","集英社","2008.6","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"519.8","15-2","国土と都市の造形　","クリストファー・ターナード (Tunnard, Christopher), ボリス・プシュカレフ (Pushkarev, Boris Sergeevich, 1929-) 共著, 鈴木 忠義 訳編","鹿島研究所出版会","1968","","原タイトル: Man-Made America: Chaos or Control?","",""
"629.253","15-2","From Milestones to Mile-Markers : Understanding Historic Roads","written by Paul Daniel Marriott  ; prepared for America's Byways Resource Center","National Trust for Historic Preservation","2004","英語","","",""
"629.453","15-2","アメリカの国立公園 : 自然保護運動と公園政策","上岡 克己","築地書館","2002.12","","","",""
"723.53","15-2","自然と文化 : アメリカの風景と絵画1825-1875","B.ノヴァック (Novak, Barbara) 著, 黒沢 眞理子 訳","玉川大学出版部","2000.9","","原タイトル: Nature and culture. (rev. ed.)","",""
"361.78","15-2","都市という劇場 : アメリカン・シティ・ライフの再発見","W.H.ホワイト (Whyte, William H., 1917-1999) 著, 柿本 照夫 訳","日本経済新聞社","1994.6","","原タイトル: City","",""
"361.48","15-2","都市の文化","マンフォード(Mumford, Lewis) 著,  生田 勉 訳
","鹿島研究所出版会	","1974","","Mumford, Lewis, 1895-1990","",""
"","","","","","","","","",""
"295.394","15-2","誰も書かなかったアラスカ : フロンティアに生きる人々","ジョン・クー (Koo, John H, 1932-) 著, 村田 昭敏","サンケイ出版","1980.11","","","",""
"","","","","","","","","",""
"257.6","15-2","Managing the environment, managing ourselves : a history of American environmental policy","Richard N.L. Andrews","Yale University Press","1999","英語","ISBN: 0300073585 (cloth : alk. paper) ","",""
"251.1","15-2","The Northwest : Pacific Coast and Cascades","Bruce Brown  /  Gary Braasch ","Rizzoli International Publications","1988","英語","北西部：太平洋岸とカスケード山脈","",""
"261.3","15-2","Breve Historia de Los Jardines en Venezuela"," Leszek Zawisza "," ‎ Oscar Todmann Ediciones","1990","スペイン語","ベネズエラの庭園：略歴, 
造園－南アメリカ","",""
"257.6","15-2","Costa Rica   (Eyewitness Travel Guides)","Main Contributor: Christopher P. Baker ","Dorling Kindersley Ltd.","2005","英語","コスタリカ観光ガイド, 
造園－中央アメリカ","",""
"257.6","15-2","Costa Rica : mapa-guía de la naturaleza =  Costa Rica Nature Atlas Guidebook","Wilberth Herrera S. ; [translated from the Spanish by Sue Heringman].","Incafo Costa Ricca S.A.","2004","英語, スペイン語","ISBN: 8485389921, 
造園－中央アメリカ","",""
"","","","","","","","","",""
"355.3","15-2","アメリカ歴史統計　第1巻 (植民地時代～1970年 [1])","アメリカ合衆国商務省 編,  斎藤 真, 鳥居 泰彦 監訳","原書房","1986.8","","Historical statistics of the United States","",""
"355.3","15-2","アメリカ歴史統計　第2巻 (植民地時代～1970年 [2])","アメリカ合衆国商務省 編,  斎藤 真, 鳥居 泰彦 監訳","原書房","1986.10","","","",""
"355.3","15-2","アメリカ歴史統計　別巻　1971-1985年の主要統計＆全３巻総索引","アメリカ合衆国商務省 編,  斎藤 真, 鳥居 泰彦 監訳","原書房","1987.8","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"629.253","15-3","100 Years of Landscape Architecture: Some Patterns of a Century","Melanie Louise Simo","ASLA Press","1999","英語","ISBN: 1888931205
1900-1999 ASLA History, 函あり, 
造園－アメリカ","",""
"629.253","15-3","Pioneers of American Landscape Design : An Annotated Bibliography","Charles A. Birnbaum, Robin Karson","McGraw Hill","2000","英語","ISBN: 0071344209,
""A project of the Natoinal Park Service Historic Landscape Initiative, Library of American Landscape History, Catalog of Landscape Records in the United States at Wave Hill, Cultural Landscape Foundation."", 
造園－アメリカ","",""
"629.253","15-3","Profiles in Landscape Architecture","**","American Sciety of Landscape Architects","1992","英語","洋雑誌, 
造園－アメリカ","",""
"629.253","15-3","""Landscape architecture""  Vol.100, No.10  -Our Centennial Issue-","**","ASLA","2010.10","英語","洋雑誌, 
造園－アメリカ","",""
"629.253","15-3","Architects of the United States of America 1989/1990","**","Images Pub. Group","1989","","ISBN: 0958959870, 
造園－アメリカ","",""
"629.253","15-3","People, Places, Land and Life：Celebrating 100 Years of Landscape Architecture　（1999 ASLA Annual Meeting and Expo  On-Site Program）","**","ASLA","1999.9","英語","造園－アメリカ","",""
"629.253","15-3","Ferruccio Vitale : landscape architect of the country place era","R. Terry Schnadelbach ; foreword by Horace Havemeyer III","Princeton Architectural Press","2001","英語","ISBN: 1568982909
フェルッチョ・ヴィターレ: アメリカの忘れ去られた景観建築家, 造園―アメリカ","",""
"629.253","15-3","Beatrix Farrand's American Landscapes : her gardens and campuses  ","Diana Balmori, Diane Kostial McGuire, Eleanor M. McPeck","Sagapress","1985","英語","Farrand, Beatrix, 1872-1959, ベアトリクス・ファーランド（米国で活躍した女性造園家）, 
造園－アメリカ","",""
"629.253","15-3","The American Woman's Garden","Rosemary verey, Ellen Samuels"," Little, Brown","1984","英語","ISBN: 0821215809, 
造園－アメリカ","",""
"629.253","15-3","Gardening with Nature : How James van Sweden and Wolfgang Oehme plant slopes, meadows, outdoor rooms, and garden screens.","James van Sweden","Random House","1997","英語","ISBN: 0679429476 
Van Sweden, James, 1935-2013.
Subject: Natural gardens--United States., 
造園－アメリカ","",""
"629.253","15-3","Hidden Gardens of Beacon Hill","editors: Barbara W. Moore, Gail Weesner","Beacon Hill Garden Club","1987","英語","ビーコンヒル(アメリカ合衆国マサチューセッツ州ボストン市内にある地区）, 
造園－アメリカ","",""
"518.8","15-3","アメリカの都市と自然 : オルムステッドによるアメリカの環境計画      (The cities=new illustrated series)　","アルバート・ファイン(Fein, Albert) 著,  黒川 直樹 訳","井上書院","1983.9","","Olmsted, Frederick Law, 1822-1903,
原タイトル: Frederick Law Olmsted and the American environmental tradition, 
造園－アメリカ","",""
"629.253","15-3","フレデリック・ロー・オームステッド : その一生と業績 : アメリカにおける近代造園修景技術の発祥 : 首都ワシントンの計画と実現","佐藤 昌 著","日本造園修景協会","1980.4","","Olmsted, Frederick Law, 1822-1903, 
造園－アメリカ","",""
"629.253","15-3","見えない庭 : アメリカン・ランドスケープのモダニズムを求めて","ピーター・ウォーカー(Walker, Peter, 1932- ), メラニー・サイモ(Simo, Melanie Louise, 1949- ) 共著,  佐々木 葉二, 宮城 俊作 共訳","鹿島出版会","1997.6","","原タイトル: Invisible gardens , 
造園－アメリカ","",""
"629.253","15-3","アメリカン・ランドスケープの思想 : ランドスケープ・デザインを志す若人へのメッセージ","都田 徹, 中瀬 勲 共著","鹿島出版会","1991.11","","造園－アメリカ","",""
"930.29","15-3","アメリカ文学の〈自然〉を読む：ネイチャーライティングの世界へ 　（Minerva英米文学ライブラリー 2）","S.スロヴィック (Slovic, Scott, 1960-) 著, 野田 研一 編著","ミネルヴァ書房 (京都)","1996.7","","","",""
"518.8","15-3","オープンスペース : アメリカ都市の生命","オーガスト・ヘックシャ― (Heckscher, August, 1913-1997) 著, 佐藤 昌 訳","鹿島出版会","1981.2","","原タイトル: Open spaces, 
造園－アメリカ","",""
"","","","","","","","","",""
"253.82","15-3","Idaho Portrait of a State","Mark Lisk","Graphic Arts Books, Portland, Or.","2007","英語","","",""
"276","15-3","The Illustrated Atlas of Hawaii ; With a history of Hawaii ","produced by Island Heritage Limited ; directed by Robert B. Goodman ; edited by O.A. Bushnell ; text by Gavan Daws, O.A. Bushnell, and Andrew Berger ; illustrations by Joseph Feher ... [et al.]","Island Heritage Limited","1970","英語","","",""
"295","15-3","Exploring our National Parks and Monuments   (New Revised 7th Edition)","Devereux Butcher ; drawings and uncredited photographs by the author.","Gambit","1976","英語","ISBN: 087645094X
LC Subjects: National parks/monuments and reserves--United States--Guidebooks.  
","",""
"629.253","15-3","Creating Central Park","Morrison H. Heckscher","The Metropolitan Museum of Art / Yale University Press","2008","英語","ISBN:9780300136692, 
造園－アメリカ","",""
"629.253","15-3","Longwood Gardens : the ultimate garden treasure","text by Colvin Randall ; photographs by Larry Albee.","York Graphic Services","1987","英語","Gardens -- Pennsylvania -- Kennett Square, 
造園－アメリカ","",""
"629.253","15-3","Longwood Gardens","Photographs by Larry Albee, Text by Colvin Randall","Longwood Gardens, Inc.","2000","英語","ロングウッド ガーデン（アメリカ）案内, 
造園－アメリカ","",""
"629.253","15-3","Japanese Garden: Saving the Legacy of Seko Garden from Extinction","Koichi Kobayashi 著 ","","2018","英語","ロイ・セコ氏の私有庭園「セコ・ガーデン」存続,  
ISBN:978-1986393782, 
造園－アメリカ","",""
"629.253","15-3","Crucible For Conservation The Struggle For Grand Teton National Park","Robert W. Righter","Grand Teton Natural History Association","2008","英語","グランド・ティトン国立公園
ISBN:0931895545, 
造園－アメリカ","",""
"","","","","","","","","",""
"","","","","","","","","",""
"629.72","15-4","Gardens of New Zealand","Barbara Matthews (Photography by)","Lansdowne Press","1983","英語","ISBN: 0868660736, 
造園－NZ","",""
"629.72","15-4","Garden Design : a New Zealand guide","Simon Swaffield","Canterbury University Press (NZ)","1993","英語"," ISBN : 0908812329, 
造園－NZ","",""
"629.72","15-4","The New Zealander's Garden","Julian Matthews & Gordon collier","Endeavour Press","1985","英語","ISBN: 0864811306, 
造園－NZ","",""
"629.72","15-4","The Botanic Garden Wellington : A New Zealand History 1840-1987","Winsome Shepherd ＆ Walter Cook","Millwood Press (NZ)","1988","英語","ISBN: 090858279X, 
造園－NZ","",""
"629.27","15-4","Landscape : Gardens by New Zealand's Top Designers"," Rosemary Thodey、 Gil Hanly","Godwit","2005","英語","","",""
"629.72","15-4","New Zealand Gardens Open to Visit      (AA leisure guides seriea)","Jillian and Denis Friar","Hodder Moa Beckett (NZ)","1996","英語","ISBN: 1869583434, 
造園－NZ","",""
"629.72","15-4","The garden of Tane.","Mona Gordon ; with photographs by the author"," A. H. and A. W. Reed","1944","英語","LC Subjects: Plants--New Zealand, 
造園－NZ","",""
"","","","","","","","","",""
"272","15-4","ニュージーランド史：南海の英国から太平洋国家へ","キース・シンクレア著, 青木 公・百々 佑利子 訳","評論社","1982.10","","ISBN: 4566056015,２冊
原タイトル: A history of New Zealand","",""
"518.872","15-4","植えつけられた都市 : 英国植民都市の形成","ロバート・ホーム(Home, Robert K) 編著,  布野 修司, 安藤 正雄 監訳,  アジア都市建築研究会 訳","京都大学学術出版会","2001.7
","","原タイトル: Of planting and planning","",""
"297.1","15-4","オーストラリア歴史地理：都市と農地の方格プラン","金田 章裕 著","地人書房","1985.6","","ISBN: 4885010510","",""
"518.85","15-4","生物多様性をめざすまちづくり : ニュージーランドの環境緑化","林 まゆみ 著","学芸出版社(京都)","2010.7","","造園－NZ","",""
"302.72","15-4","ニュージーランドの素顔 : その魅力と喜悦・平安を求めて","川瀬 勇 著","山手書房新社","1994.7","","","",""
"","","","","","","","","",""
"297.2","15-4","Places Preserved Australia : A Personal Tribute","Debra Doenges /  Andrew Tealke ","New Holland Publishers, Chatswood, N.S.W.","2008","英語","ISBN: 9781741107470","",""
"470.72","15-4","Kauri Past ＆Present","Gordon Ell","The Bush Press","1994","英語","NZの木「カウリ」, 
ISBN: 0908606195","",""
"470.72","15-4","New Zealand's Forests","Harriet Fleet","Heinemann","1984","英語","ISBN: 0868631353, 
造園－NZ
","",""
"470.72","15-4","The native trees of New Zealand "," J.T. Salmon","A.H. & A.W. Reed","1980","英語","ISBN: 589013408, 
布製函, 
造園－NZ","",""
"470.72","15-4","The Native Trees of New Zealand","J. T. Salmon (John Tenison),","Reed Methuen Publishers (NZ)","1986","英語","ISBN: 0474002381, 
造園－NZ","",""
"","","","","","","","","",""
"297.2","15-4","Christchurch, New Zealand : A City of cities.","text by Brian Priestley, Graphics by Grant Nelson","**(NZ)","1990","英語","","",""
"297.2","15-4","クライストチャーチ 　Christchurche","ジョン・カースル(John Castle) 著, 雪吉 政子","ガールスカウト倉敷市協議会(倉敷)","1984.12","","非売品","",""
"297.2","15-4","Welcome to New Zealand : Guest Information / ようこそニュージーランドへ　ー旅行者情報　 1989/90 Edition","**","Awaiviata Publication","1990","英語・日本語","ニュージーランド：旅行ガイド","",""
"297.2","15-4","Peter McIntyre’s New Zealand"," Peter McIntyre","Beckett Publishing","1989","英語","","",""
"297.2","15-4","A Portrait of New Zealand","photographs by Robin Smith, Warren Jacobs ; text by Errol Brathwaite","Kowhai Pub. (NZ)","1988","英語","ISBN: 0908598351
","",""
"470.72","15-4","Wild New Zealand  (1st ed)","photographs by Gerald Cubitt ; text by Les Molloy in collaboration with the New Zealand Department of Conservation","New Holland","1994","英語","ISBN: 1853681822","",""
"297.2","15-4","Wild New Zealand","","Reader’s Digest","1982","英語","野生のニュージーランド","",""
"297.2","15-4","The Walking Tracks of New Zealand's National Parks","John Cobb","Viking Pacific","1990","英語","ISBN: 0670834475","",""
"297.2","15-4","The Alpine World of Mount Cook National Park","Andy Dennis, Craig Potton, New Zealand Department of Lands and Survey","Cobb/Horwood Publications : Lands and Survey Dept., Auckland, N.Z.","1984","英語","ISBN: 9780477061100","",""
"","","","","","","","","",""
"297.2","15-4","The Fold of the Land : New Zealand's national parks from the air","Lloyd Homer and Les Molloy","Allen & Unwin ; Dept. of Scientific and Industrial Research (NZ)","1988","英語","ISBN: 0868614912","",""
"","","","","","","","","",""
"","","","","","","","","",""
"470.72","15-5","South African Proteaceae in New Zealand","Lewis J. Matthews ; paintings and line drawing by Zoë Carter","Matthews Publishing (NZ)","1983","英語","ISBN: 0959766901, 
造園－NZ","",""
