"分類: NDC","棚番号-段","タイトル","編著者","発行者","発行年","言語","注記：原著名／仮訳、ISBN等","貴重書","タグ"
"702.1","01-6","日本の図像：神獣霊獣","狩野 博幸, 湯本 豪一 執筆, 解説: 向笠 修司, 香川 享、訳: パメラ三木 ","ピエ・ブックス","2009.7","","","",""
"913.6","01-6","吼えよ江戸象","熊谷 敬太郎 著","NHK出版","2016.2","","","","#江戸べらぼう"
"","","","","","","","","",""
"646.1","01-6","日本鶏 外国鶏 : カラー版","全国日本鶏保存会 監修、立松光好 写真","家の光協会","2004.12","","","",""
"480.49","01-6","動物園物語","福田 三郎 著","駿河台書房","1953","","","",""
"480.76 ","01-6","世界の動物園めぐり　(日本児童文庫 52)","古賀 忠道 著","ARS：	日本児童文庫刊行会","1957(昭和32)　","","","",""
"779.5","01-6","日本のサーカス","尾崎  宏次 著","三芽書房","1958","","","",""
"480.76","01-6","思い出の鴨池動物園","黙遥社 編","黙遥社(鹿児島)","1986.12","","","",""
"724.1","01-6","鶏の描法　改訂新版　(玉雲水墨画 第18巻  (鶏の基礎描法))","山田 玉雲 著","秀作社出版","1992.9","","","",""
"210.5","01-6","動物の旅　～ゾウとラクダ～","豊橋市二川宿本陣資料館 編","豊橋市二川宿本陣資料館","1999.10","","会期: 1999年10月9日-11月21日 ","","#江戸べらぼう"
"721.4","01-6","若冲百図　生誕三百年記念　     (別冊太陽 日本のこころ 227 )","伊藤 若冲 画 ( 1716-1800)、狩野博幸 著 (1947- )","平凡社","2015.3","","蒹葭堂日記 (木村 巽斎(1736-1802)の記事あり","","#江戸べらぼう"
"721.4","01-6","目をみはる伊藤若冲の『動植綵絵』   (アートセレクション)","伊藤 若冲 画 ( 1716-1800)、狩野博幸 著 (1947- )","小学館","2000.8","","","","#江戸べらぼう"
"721.4","01-6","若冲の描いた生き物たち","伊藤 若冲 画 ( 1716-1800)","学研プラス","2016.2","","","","#江戸べらぼう"
"721.4","01-6","若冲展 : 生誕300年記念","若冲 [画], 小林忠, 太田彩 カタログ監修, 東京都美術館, 日本経済新聞社, NHK, NHKプロモーション 編","日本経済新聞社 (共同刊行: NHKほか)","2016.4","","会期・会場: 2016年4月22日-5月24日 東京都美術館 ","","#江戸べらぼう"
"702.1","01-6","不滅のシンボル 鳳凰と獅子      (開館50周年記念「美を結ぶ。美をひらく。」  2)","サントリー美術館,  編集: 石田佳也ほか ","サントリー美術館","2011.6","","会期: 2011年6月8日-7月24日 サントリー美術館 ","",""
"210.1","01-6","ひとと動物の近世 : つきあいと観察　   (朝日百科・日本の歴史  別冊  歴史を読みなおす 18)","朝日新聞社 編 ","朝日新聞社","1995.5","","","",""
"223","01-6","Chickens and Humans in Thailand: Their multiple relationships and domestication ","Honorary Editors: H.R.H. Princess Maha Chakri Sirindhorn,  H.I.H. Prince Akishinonomiya Humihito (秋篠宮, 文仁 )","The Siam Society under Royal Partonage","2009","英語","ISBN: 9789748298573
タイのニワトリと人間：その多様な関係と家畜化","",""
"929.13 ","01-6","庭を出ためんどり","ファン・ソンミ 文, 絵：キム・ファンヨン, 訳：ピョン・キジャ","平凡社","2003.2","","","",""
"913.6 ","01-6","ニワトリを殺すな　　Don’t Kill a Cock","ケビン・D.ワン著, 高橋 裕二 監修","幻冬舎","2003.3","","","",""
"481.78","01-6","ソロモンの指環 : 動物行動学入門      (ハヤカワ文庫  NF)","コンラート・ローレンツ(Lorenz, Konrad) [著],  日高敏隆 訳","早川書房","1998.3","","Lorenz, Konrad, 1903-1989,  原タイトル: Er redete mit dem Vieh,den Vögeln und den Fischen","",""
"","","","","","","","","",""
"","","","","","","","","",""
"629","01-7","臺灣国立公園寫眞集
台湾国立公園写真集
","岡田 紅陽 撮影, 台湾国立公園協会 編","臺灣国立公園協会(台北)","1939(昭和14)","","","",""
"219.9","01-7","八重山諸島を中心とした古文書(等)調査報告書　昭和55年度   (沖縄県文化財調査報告書 第35集)??","沖縄県教育庁文化課 編","沖縄県教育委員会[那覇]","1981.3","","","",""
"472.1","01-7","日本植生誌　屋久島","宮脇 昭 編著","至文堂","1980.2","",", 付表 付 (地図4枚 袋入) : 植生図 ","",""
"472.199","01-7","琉球植物誌 (追加･訂正版)","初島 住彦 著","沖縄生物教育研究会(那覇)","1975.11","","","",""
"472.136","01-7","小笠原の固有植物と植生","小野 幹雄、奥富 清 編著","アボック社出版局","1985.11","","付図(1枚):小笠原諸島現存植生図,  別冊 (10枚 ホルダー入) : 付表小笠原の植生","","#小笠原"
"472.1369","01-7","小笠原島の植物　(東京緑地計画調査彙報 第8號)","東京府 編","東京府","1936","","","","#小笠原"
"291.099","01-7","オイレンブルク日本遠征記　上　(新異国叢書 12)","中井 晶夫 訳","雄松堂","1969","","Eulenburg, Franz, 1867-1943, 『公式資料によるプロイセンの東アジア遠征』 (Die preussische Expedition nach Ostasien, nach amtlichen Quellen, 4 Bde, Berlin 1864) のうち、日本に関する部分を訳出したもの ","",""
"291.099","01-7","オイレンブルク日本遠征記　上　(新異国叢書 12)","中井 晶夫 訳","雄松堂","1969","","『公式資料によるプロイセンの東アジア遠征』 (Die preussische Expedition nach Ostasien, nach amtlichen Quellen, 4 Bde, Berlin 1864) のうち、日本に関する部分を訳出したもの ","",""
"469","01-7","日本人種論変遷史","清野 謙次 著(1885-1955), 太平洋協会 編","小山書店","1944","","","",""
